Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,Delay
199,C0,604e-3,99,-40,,,eval err
199,C1,604e-3,99,150,,,eval err
200,C0,604e-3,100,-40,,,747.9e-12
200,C1,604e-3,100,150,,,761.8e-12
201,C0,608e-3,1,-40,,,1.034e-9
201,C1,608e-3,1,150,,,1.117e-9
202,C0,608e-3,2,-40,,,1.029e-9
202,C1,608e-3,2,150,,,1.108e-9
203,C0,608e-3,3,-40,,,1.097e-9
203,C1,608e-3,3,150,,,1.19e-9
204,C0,608e-3,4,-40,,,1.017e-9
204,C1,608e-3,4,150,,,1.094e-9
205,C0,608e-3,5,-40,,,1.076e-9
205,C1,608e-3,5,150,,,1.169e-9
206,C0,608e-3,6,-40,,,978.7e-12
206,C1,608e-3,6,150,,,1.067e-9
207,C0,608e-3,7,-40,,,1.015e-9
207,C1,608e-3,7,150,,,1.083e-9
208,C0,608e-3,8,-40,,,1.009e-9
208,C1,608e-3,8,150,,,1.086e-9
209,C0,608e-3,9,-40,,,1.075e-9
209,C1,608e-3,9,150,,,1.166e-9
210,C0,608e-3,10,-40,,,1.094e-9
210,C1,608e-3,10,150,,,1.17e-9
211,C0,608e-3,11,-40,,,1.063e-9
211,C1,608e-3,11,150,,,1.162e-9
212,C0,608e-3,12,-40,,,1.013e-9
212,C1,608e-3,12,150,,,1.102e-9
213,C0,608e-3,13,-40,,,1.016e-9
213,C1,608e-3,13,150,,,1.103e-9
214,C0,608e-3,14,-40,,,1.025e-9
214,C1,608e-3,14,150,,,1.105e-9
215,C0,608e-3,15,-40,,,1.081e-9
215,C1,608e-3,15,150,,,1.175e-9
216,C0,608e-3,16,-40,,,1.005e-9
216,C1,608e-3,16,150,,,1.089e-9
217,C0,608e-3,17,-40,,,1.071e-9
217,C1,608e-3,17,150,,,1.155e-9
218,C0,608e-3,18,-40,,,1.018e-9
218,C1,608e-3,18,150,,,1.112e-9
219,C0,608e-3,19,-40,,,1.044e-9
219,C1,608e-3,19,150,,,1.127e-9
220,C0,608e-3,20,-40,,,1.075e-9
220,C1,608e-3,20,150,,,1.16e-9
221,C0,608e-3,21,-40,,,1.032e-9
221,C1,608e-3,21,150,,,1.111e-9
222,C0,608e-3,22,-40,,,1.059e-9
222,C1,608e-3,22,150,,,1.177e-9
223,C0,608e-3,23,-40,,,1.054e-9
223,C1,608e-3,23,150,,,1.135e-9
224,C0,608e-3,24,-40,,,1.112e-9
224,C1,608e-3,24,150,,,1.197e-9
225,C0,608e-3,25,-40,,,1.034e-9
225,C1,608e-3,25,150,,,1.112e-9
226,C0,608e-3,26,-40,,,1.04e-9
226,C1,608e-3,26,150,,,1.146e-9
227,C0,608e-3,27,-40,,,1.057e-9
227,C1,608e-3,27,150,,,1.139e-9
228,C0,608e-3,28,-40,,,1.017e-9
