Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,Delay
286,C1,885e-3,6,150,,9.8e-9
287,C0,885e-3,7,-40,,eval err
287,C1,885e-3,7,150,,eval err
288,C0,885e-3,8,-40,,eval err
288,C1,885e-3,8,150,,eval err
289,C0,885e-3,9,-40,,10.2e-9
289,C1,885e-3,9,150,,10.21e-9
290,C0,885e-3,10,-40,,eval err
290,C1,885e-3,10,150,,eval err
291,C0,885e-3,11,-40,,9.874e-9
291,C1,885e-3,11,150,,9.918e-9
292,C0,885e-3,12,-40,,eval err
292,C1,885e-3,12,150,,eval err
293,C0,885e-3,13,-40,,10.1e-9
293,C1,885e-3,13,150,,10.06e-9
294,C0,885e-3,14,-40,,eval err
294,C1,885e-3,14,150,,10.33e-9
295,C0,885e-3,15,-40,,9.676e-9
295,C1,885e-3,15,150,,9.701e-9
296,C0,885e-3,16,-40,,9.881e-9
296,C1,885e-3,16,150,,9.855e-9
297,C0,885e-3,17,-40,,eval err
297,C1,885e-3,17,150,,eval err
298,C0,885e-3,18,-40,,10.15e-9
298,C1,885e-3,18,150,,10.17e-9
299,C0,885e-3,19,-40,,eval err
299,C1,885e-3,19,150,,eval err
300,C0,885e-3,20,-40,,9.567e-9
300,C1,885e-3,20,150,,9.588e-9
301,C0,885e-3,21,-40,,10.34e-9
301,C1,885e-3,21,150,,10.29e-9
302,C0,885e-3,22,-40,,10.02e-9
302,C1,885e-3,22,150,,10.09e-9
303,C0,885e-3,23,-40,,eval err
303,C1,885e-3,23,150,,eval err
304,C0,885e-3,24,-40,,eval err
304,C1,885e-3,24,150,,eval err
305,C0,885e-3,25,-40,,9.762e-9
305,C1,885e-3,25,150,,9.744e-9
306,C0,885e-3,26,-40,,eval err
306,C1,885e-3,26,150,,eval err
307,C0,885e-3,27,-40,,10.1e-9
307,C1,885e-3,27,150,,10.1e-9
308,C0,885e-3,28,-40,,eval err
308,C1,885e-3,28,150,,eval err
309,C0,885e-3,29,-40,,9.947e-9
309,C1,885e-3,29,150,,9.959e-9
310,C0,885e-3,30,-40,,9.14e-9
310,C1,885e-3,30,150,,9.167e-9
311,C0,885e-3,31,-40,,10.26e-9
311,C1,885e-3,31,150,,10.23e-9
312,C0,885e-3,32,-40,,eval err
