Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
145,C0,85.71e-9,25,-40,,,1.314e-9
145,C1,85.71e-9,25,150,,,1.221e-9
146,C0,85.71e-9,26,-40,,,1.243e-9
146,C1,85.71e-9,26,150,,,1.066e-9
147,C0,85.71e-9,27,-40,,,1.306e-9
147,C1,85.71e-9,27,150,,,1.238e-9
148,C0,85.71e-9,28,-40,,,1.394e-9
148,C1,85.71e-9,28,150,,,1.301e-9
149,C0,85.71e-9,29,-40,,,1.272e-9
149,C1,85.71e-9,29,150,,,1.197e-9
150,C0,85.71e-9,30,-40,,,1.189e-9
150,C1,85.71e-9,30,150,,,1.045e-9
151,C0,85.71e-9,31,-40,,,1.32e-9
151,C1,85.71e-9,31,150,,,1.221e-9
152,C0,85.71e-9,32,-40,,,1.326e-9
152,C1,85.71e-9,32,150,,,1.243e-9
153,C0,85.71e-9,33,-40,,,1.291e-9
153,C1,85.71e-9,33,150,,,1.198e-9
154,C0,85.71e-9,34,-40,,,1.369e-9
154,C1,85.71e-9,34,150,,,1.269e-9
155,C0,85.71e-9,35,-40,,,1.277e-9
155,C1,85.71e-9,35,150,,,1.174e-9
156,C0,85.71e-9,36,-40,,,1.23e-9
156,C1,85.71e-9,36,150,,,1.122e-9
157,C0,85.71e-9,37,-40,,,1.32e-9
157,C1,85.71e-9,37,150,,,1.253e-9
158,C0,85.71e-9,38,-40,,,1.284e-9
158,C1,85.71e-9,38,150,,,1.199e-9
159,C0,85.71e-9,39,-40,,,1.299e-9
159,C1,85.71e-9,39,150,,,1.156e-9
160,C0,85.71e-9,40,-40,,,1.213e-9
160,C1,85.71e-9,40,150,,,1.109e-9
161,C0,85.71e-9,41,-40,,,1.322e-9
161,C1,85.71e-9,41,150,,,1.197e-9
162,C0,85.71e-9,42,-40,,,1.23e-9
162,C1,85.71e-9,42,150,,,1.123e-9
163,C0,85.71e-9,43,-40,,,1.365e-9
163,C1,85.71e-9,43,150,,,1.215e-9
164,C0,85.71e-9,44,-40,,,1.26e-9
164,C1,85.71e-9,44,150,,,1.164e-9
165,C0,85.71e-9,45,-40,,,1.35e-9
165,C1,85.71e-9,45,150,,,1.268e-9
166,C0,85.71e-9,46,-40,,,1.34e-9
166,C1,85.71e-9,46,150,,,1.257e-9
167,C0,85.71e-9,47,-40,,,1.327e-9
167,C1,85.71e-9,47,150,,,1.22e-9
168,C0,85.71e-9,48,-40,,,1.308e-9
168,C1,85.71e-9,48,150,,,1.201e-9
169,C0,85.71e-9,49,-40,,,1.198e-9
169,C1,85.71e-9,49,150,,,1.016e-9
170,C0,85.71e-9,50,-40,,,1.32e-9
170,C1,85.71e-9,50,150,,,1.228e-9
171,C0,85.71e-9,51,-40,,,1.333e-9
171,C1,85.71e-9,51,150,,,1.29e-9
172,C0,85.71e-9,52,-40,,,1.309e-9
172,C1,85.71e-9,52,150,,,1.199e-9
173,C0,85.71e-9,53,-40,,,1.446e-9
173,C1,85.71e-9,53,150,,,1.311e-9
174,C0,85.71e-9,54,-40,,,1.279e-9
174,C1,85.71e-9,54,150,,,1.214e-9
175,C0,85.71e-9,55,-40,,,1.256e-9
175,C1,85.71e-9,55,150,,,1.108e-9
176,C0,85.71e-9,56,-40,,,1.264e-9
176,C1,85.71e-9,56,150,,,1.14e-9
177,C0,85.71e-9,57,-40,,,1.239e-9
177,C1,85.71e-9,57,150,,,1.091e-9
178,C0,85.71e-9,58,-40,,,1.34e-9
178,C1,85.71e-9,58,150,,,1.282e-9
179,C0,85.71e-9,59,-40,,,1.326e-9
179,C1,85.71e-9,59,150,,,1.225e-9
180,C0,85.71e-9,60,-40,,,1.25e-9
180,C1,85.71e-9,60,150,,,1.125e-9
181,C0,108.6e-9,1,-40,,,1.425e-9
181,C1,108.6e-9,1,150,,,1.332e-9
182,C0,108.6e-9,2,-40,,,1.331e-9
182,C1,108.6e-9,2,150,,,1.241e-9
183,C0,108.6e-9,3,-40,,,1.296e-9
183,C1,108.6e-9,3,150,,,1.226e-9
184,C0,108.6e-9,4,-40,,,1.399e-9
184,C1,108.6e-9,4,150,,,1.309e-9
185,C0,108.6e-9,5,-40,,,1.357e-9
185,C1,108.6e-9,5,150,,,1.284e-9
186,C0,108.6e-9,6,-40,,,1.328e-9
186,C1,108.6e-9,6,150,,,1.179e-9
187,C0,108.6e-9,7,-40,,,1.502e-9
187,C1,108.6e-9,7,150,,,1.457e-9
188,C0,108.6e-9,8,-40,,,1.481e-9
188,C1,108.6e-9,8,150,,,1.399e-9
189,C0,108.6e-9,9,-40,,,1.325e-9
189,C1,108.6e-9,9,150,,,1.253e-9
190,C0,108.6e-9,10,-40,,,1.376e-9
190,C1,108.6e-9,10,150,,,1.313e-9
191,C0,108.6e-9,11,-40,,,1.268e-9
191,C1,108.6e-9,11,150,,,1.192e-9
192,C0,108.6e-9,12,-40,,,1.389e-9
192,C1,108.6e-9,12,150,,,1.296e-9
193,C0,108.6e-9,13,-40,,,1.401e-9
193,C1,108.6e-9,13,150,,,1.292e-9
194,C0,108.6e-9,14,-40,,,1.409e-9
194,C1,108.6e-9,14,150,,,1.336e-9
195,C0,108.6e-9,15,-40,,,1.263e-9
